transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,device_id,ip_address,is_fraud,out_degree,in_degree,total_sent,total_received,avg_sent,shared_device_count,shared_ip_count,fraud_out,fraud_in,total_degree
TXN00000010,2024-09-25 15:28:36,ACC000167,ACC000473,89.91,PAYMENT,6078e6c8-201f,192.168.88.111,0,8,8,3164.5399999999995,2946.7799999999997,395.56749999999994,8,8,0,0,16
TXN00000011,2024-11-15 09:02:35,ACC000701,ACC000332,37.69,TRANSFER,a33553bb-0da7,192.168.11.50,0,10,10,4405.65,5542.6,440.56500000000005,10,8,0,0,20
TXN00000012,2024-03-24 05:53:30,ACC000234,ACC000841,248.17,CASH_OUT,04a5e86c-2731,192.168.71.34,0,11,9,4046.68,2328.1099999999997,367.88,10,10,0,0,20
TXN00000013,2024-04-01 00:38:06,ACC000410,ACC000274,371.67,CASH_OUT,61262a3f-c45f,192.168.120.179,0,9,20,4109.71,11679.11,456.63444444444445,9,9,0,0,29
TXN00000014,2024-12-03 22:09:37,ACC000558,ACC000714,21812.64,DEBIT,053d265a-683b,192.168.193.50,1,12,19,247012.56,315258.26,20584.379999999997,12,12,8,12,31
TXN00000015,2024-07-10 04:04:32,ACC000146,ACC000271,485.18,CASH_OUT,49b9da55-b3f5,192.168.20.194,0,13,17,7599.929999999999,7820.240000000001,584.6100000000001,13,12,0,0,30
TXN00000016,2024-09-08 14:59:54,ACC000764,ACC000598,1339.05,DEBIT,4513b375-5a37,192.168.214.27,0,13,17,8455.58,7735.600000000001,650.4292307692309,13,13,0,0,30
TXN00000017,2024-02-06 04:13:52,ACC000370,ACC000224,545.05,DEBIT,49b9da55-b3f5,192.168.202.44,0,17,9,12712.75,5614.400000000001,747.8088235294118,17,15,0,0,26
TXN00000018,2024-07-30 11:14:00,ACC000093,ACC000773,1593.87,TRANSFER,bee5ed43-100e,192.168.248.77,0,14,11,9641.53,5304.550000000001,688.6807142857143,14,14,0,0,25
TXN00000019,2024-10-11 12:13:23,ACC000156,ACC000642,548.42,DEBIT,1f08b355-06ec,192.168.127.127,0,10,12,3215.69,6548.94,321.569,10,10,0,0,22
TXN00000020,2024-04-27 22:12:38,ACC000610,ACC000065,582.83,DEBIT,c0e93558-bf82,192.168.244.23,0,9,9,6243.32,5474.64,693.7022222222223,9,9,0,0,18
TXN00000021,2024-07-06 16:35:32,ACC000541,ACC000257,383.63,TRANSFER,8db04cd2-ae6f,192.168.248.77,0,9,8,4273.820000000001,3869.09,474.8688888888889,9,9,0,0,17
TXN00000022,2024-04-01 04:14:11,ACC000696,ACC000738,355.07,CASH_OUT,3e76be9f-4455,192.168.46.42,0,8,11,2753.48,4665.59,344.18500000000006,7,8,0,0,19
TXN00000023,2024-04-07 06:13:07,ACC000787,ACC000656,209.04,CASH_OUT,fea98217-147f,192.168.139.40,0,10,9,3970.45,3812.6200000000003,397.045,9,10,0,0,19
TXN00000024,2024-05-03 10:57:18,ACC000445,ACC000161,56.21,CASH_OUT,c7085917-e7f2,192.168.22.196,0,12,10,5094.44,6006.139999999999,424.5366666666667,12,11,0,0,22
TXN00000025,2024-05-14 03:24:12,ACC000995,ACC000512,597.55,TRANSFER,64056067-31e8,192.168.110.204,0,10,11,5106.650000000001,5631.05,510.6649999999999,10,10,0,0,21
TXN00000026,2024-03-26 22:30:30,ACC000891,ACC000640,299.97,PAYMENT,a71524df-57c9,192.168.21.187,0,8,9,2429.71,6246.920000000001,303.71375000000006,8,8,0,0,17
TXN00000027,2024-04-18 08:38:16,ACC000156,ACC000382,203.12,TRANSFER,64056067-31e8,192.168.40.211,0,10,12,3215.69,6548.94,321.569,10,10,0,0,22
TXN00000028,2024-06-17 01:57:15,ACC000613,ACC000331,320.06,TRANSFER,44b1e350-e3bc,192.168.51.24,0,13,14,6304.670000000001,10493.539999999999,484.9746153846154,13,12,0,0,27
TXN00000029,2024-07-14 10:24:31,ACC000951,ACC000371,1072.43,TRANSFER,05fd3a57-1932,192.168.166.120,0,10,7,5518.130000000001,3521.24,551.813,10,10,0,0,17
TXN00000030,2024-10-06 16:38:37,ACC000246,ACC000899,596.45,TRANSFER,a9628361-6f0f,192.168.118.59,0,15,9,6783.28,2468.38,452.21866666666665,15,14,0,0,24
TXN00000031,2024-08-19 00:21:30,ACC000087,ACC000749,651.35,TRANSFER,b391c9fa-c8b2,192.168.247.31,0,11,6,6083.379999999999,1237.38,553.0345454545454,11,11,0,0,17
TXN00000032,2024-07-02 16:57:03,ACC000778,ACC000545,118.36,PAYMENT,a33553bb-0da7,192.168.104.83,0,13,15,5867.959999999999,12780.91,451.38153846153847,13,12,0,0,28
TXN00000033,2024-11-10 03:53:56,ACC000675,ACC000486,556.68,CASH_OUT,b6351af2-5048,192.168.160.178,0,12,8,5738.12,3030.2099999999996,478.1766666666666,12,11,0,0,20
TXN00000034,2024-07-30 23:43:49,ACC000540,ACC000893,1228.65,PAYMENT,3fba662b-3184,192.168.20.25,0,6,13,6136.24,6113.759999999999,1022.7066666666667,6,6,0,0,19
TXN00000035,2024-01-31 20:09:38,ACC000951,ACC000552,90.54,PAYMENT,b1948c6c-75f9,192.168.104.95,0,10,7,5518.130000000001,3521.24,551.813,10,10,0,0,17
TXN00000036,2024-05-28 10:50:30,ACC000730,ACC000319,289.04,CASH_OUT,428a0d44-09ce,192.168.158.131,0,13,10,6170.259999999999,3528.2000000000003,474.6353846153846,13,13,0,0,23
TXN00000037,2024-08-04 16:39:15,ACC000448,ACC000921,334.95,TRANSFER,2d06eeba-b20a,192.168.118.217,0,14,10,8590.76,5646.669999999999,613.6257142857145,13,12,0,0,24
TXN00000038,2024-09-20 11:27:48,ACC000253,ACC000230,370.01,TRANSFER,61262a3f-c45f,192.168.196.183,0,10,11,5308.83,10688.32,530.883,10,10,0,0,21
TXN00000039,2024-08-03 09:03:53,ACC000602,ACC000567,2679.43,PAYMENT,c476b015-8cae,192.168.92.210,0,17,10,11462.91,4922.57,674.2888235294117,15,17,0,0,27
TXN00000040,2024-01-03 20:47:52,ACC000007,ACC000072,147.42,TRANSFER,c8165ad5-35ee,192.168.156.232,0,12,10,10301.17,7777.03,858.4308333333333,12,12,0,0,22
TXN00000041,2024-07-27 22:29:28,ACC000234,ACC000069,498.41,CASH_OUT,04a5e86c-2731,192.168.248.77,0,11,9,4046.68,2328.1099999999997,367.88,10,10,0,0,20
TXN00000042,2024-07-07 23:06:22,ACC000072,ACC000526,1137.87,DEBIT,7809e222-aafa,192.168.70.104,0,11,5,5074.129999999999,2193.46,461.2845454545454,10,11,0,0,16
TXN00000043,2024-06-28 15:15:43,ACC000219,ACC000552,336.09,DEBIT,9e5ea1d3-f777,192.168.85.168,0,8,14,5363.639999999999,6163.280000000001,670.455,8,7,0,0,22
TXN00000044,2024-09-20 05:55:57,ACC000248,ACC000803,271.94,DEBIT,b2349c74-bc91,192.168.71.34,0,15,6,6520.999999999999,1986.5200000000002,434.7333333333334,12,14,0,0,21
TXN00000045,2024-02-02 00:19:51,ACC000194,ACC000096,114.45,DEBIT,50c8214a-84a4,192.168.245.81,0,15,4,10081.279999999999,3484.2000000000003,672.0853333333333,15,14,0,0,19
TXN00000046,2024-09-23 15:28:58,ACC000362,ACC000433,1136.41,TRANSFER,bbb0a032-89e2,192.168.78.159,0,13,8,5967.82,1420.21,459.0630769230769,12,13,0,0,21
TXN00000047,2024-05-01 18:40:00,ACC000689,ACC000669,1304.22,TRANSFER,00f31701-18df,192.168.193.50,0,14,8,7937.41,3296.9000000000005,566.9578571428572,14,14,0,0,22
TXN00000048,2024-07-13 06:02:38,ACC000412,ACC000745,246.08,TRANSFER,adb287a1-14ab,192.168.238.4,0,12,9,5228.9400000000005,4196.79,435.74499999999995,12,12,0,0,21
TXN00000049,2024-04-24 18:29:39,ACC000254,ACC000196,90.04,DEBIT,cc624879-3cd3,192.168.106.123,0,12,13,3802.609999999999,5631.0599999999995,316.8841666666667,12,12,0,0,25
TXN00000050,2024-09-26 04:25:27,ACC000143,ACC000432,1200.49,DEBIT,3681ba10-2c26,192.168.70.104,0,16,11,6352.57,3178.21,397.035625,15,16,0,0,27
TXN00000051,2024-05-19 21:52:53,ACC000255,ACC000895,672.08,TRANSFER,554889d1-7175,192.168.206.147,0,7,10,5408.68,8683.85,772.6685714285713,7,7,0,0,17
TXN00000052,2024-08-11 15:02:23,ACC000051,ACC000667,1083.65,TRANSFER,4023875c-35d7,192.168.6.181,0,11,10,8054.9400000000005,3084.66,732.2672727272727,11,11,0,0,21
TXN00000053,2024-06-23 23:16:38,ACC000992,ACC000095,547.76,PAYMENT,e933dfd0-09f7,192.168.110.32,0,12,13,6232.580000000001,10703.529999999999,519.3816666666667,11,12,0,0,25
TXN00000054,2024-06-03 16:31:13,ACC000170,ACC000416,162.03,PAYMENT,b391c9fa-c8b2,192.168.193.106,0,8,10,6868.77,2548.2499999999995,858.59625,8,8,0,0,18
TXN00000055,2024-02-13 05:52:20,ACC000885,ACC000410,1746.5,DEBIT,64030d45-4d33,192.168.160.178,0,23,6,12544.080000000002,3567.0699999999997,545.3947826086958,23,22,0,0,29
TXN00000056,2024-01-12 19:38:12,ACC000002,ACC000399,594.61,DEBIT,b1213f4c-455f,192.168.161.199,0,13,9,3845.7400000000002,6755.040000000001,295.82615384615383,13,13,0,0,22
TXN00000057,2024-09-07 10:12:14,ACC000030,ACC000733,25444.31,DEBIT,49b9da55-b3f5,192.168.160.178,1,20,18,268147.54,164596.00000000003,13407.376999999999,16,18,9,7,38
TXN00000058,2024-12-19 10:23:55,ACC000158,ACC000194,1136.71,TRANSFER,c34e5b38-89c6,192.168.70.198,0,7,7,4569.1,3956.7399999999993,652.7285714285715,6,7,0,0,14
TXN00000059,2024-06-16 08:52:52,ACC000593,ACC000753,35.29,CASH_OUT,4023875c-35d7,192.168.114.58,0,7,8,2420.5,6799.379999999999,345.78571428571433,7,7,0,0,15
TXN00000060,2024-07-17 21:20:20,ACC000058,ACC000051,404.47,PAYMENT,f7cc485b-86ee,192.168.160.22,0,9,8,4891.67,3428.62,543.518888888889,9,9,0,0,17
TXN00000061,2024-02-10 08:45:16,ACC000058,ACC000983,497.57,PAYMENT,60642c3e-7a0a,192.168.42.192,0,9,8,4891.67,3428.62,543.518888888889,9,9,0,0,17
TXN00000062,2024-01-16 18:35:57,ACC000070,ACC000609,709.49,PAYMENT,b1599e99-8ac9,192.168.230.65,0,9,8,3877.9699999999993,3671.68,430.8855555555556,9,9,0,0,17
TXN00000063,2024-02-08 20:14:06,ACC000413,ACC000122,523.26,TRANSFER,a9628361-6f0f,192.168.20.194,0,6,10,2146.83,3861.9399999999996,357.805,6,6,0,0,16
TXN00000064,2024-09-05 11:10:41,ACC000634,ACC000083,10.57,CASH_OUT,1dc4c9d4-5baa,192.168.245.81,0,13,4,5503.969999999999,1089.66,423.38230769230773,13,13,0,0,17
TXN00000065,2024-11-23 10:00:45,ACC000432,ACC000558,15837.26,CASH_OUT,1161a948-ee32,192.168.114.58,1,22,16,267838.82,279698.01,12174.491818181816,20,20,10,9,38
TXN00000066,2024-10-22 01:08:37,ACC000405,ACC000134,1087.65,CASH_OUT,0ada9503-596c,192.168.139.94,0,16,11,7055.51,5382.359999999999,440.96937499999996,15,15,0,0,27
TXN00000067,2024-03-13 08:16:08,ACC000468,ACC000323,1089.09,TRANSFER,e933dfd0-09f7,192.168.169.28,0,12,9,7727.970000000001,5860.83,643.9975,12,12,0,0,21
TXN00000068,2024-02-27 01:24:48,ACC000654,ACC000718,5244.34,TRANSFER,6ee1d3a0-d86f,192.168.118.33,1,28,16,409789.91000000003,254331.10000000003,14635.353928571429,27,23,14,10,44
TXN00000069,2024-01-19 20:31:24,ACC000075,ACC000550,3084.55,CASH_OUT,767b8845-3697,192.168.44.149,0,9,10,6559.6900000000005,5571.67,728.8544444444444,8,9,0,0,19
TXN00000070,2024-03-30 09:10:23,ACC000135,ACC000955,698.82,TRANSFER,c97c3221-ad4e,192.168.244.234,0,14,11,4602.660000000001,3884.8,328.76142857142855,14,14,0,0,25
TXN00000071,2024-01-21 21:21:06,ACC000900,ACC000250,994.08,PAYMENT,cc5ac11d-3a71,192.168.253.216,0,11,4,7187.409999999999,2573.4500000000003,653.4009090909091,11,11,0,0,15
TXN00000072,2024-10-26 05:26:43,ACC000448,ACC000853,1125.4,CASH_OUT,71e6d585-8c03,192.168.215.226,0,14,10,8590.76,5646.669999999999,613.6257142857145,13,12,0,0,24
TXN00000073,2024-11-01 20:42:24,ACC000825,ACC000714,14080.19,CASH_OUT,9e5ea1d3-f777,192.168.22.196,1,18,21,273503.11999999994,324858.82000000007,15194.61777777778,16,18,9,12,39
TXN00000074,2024-07-16 00:59:13,ACC000954,ACC000679,234.23,PAYMENT,9f28909f-12de,192.168.73.210,0,7,9,4701.82,5453.5199999999995,671.6885714285714,7,6,0,0,16
TXN00000075,2024-09-28 23:50:52,ACC000270,ACC000118,584.7,PAYMENT,c701abc0-99c3,192.168.1.238,0,7,11,3680.9800000000005,6558.13,525.8542857142857,7,7,0,0,18
TXN00000076,2024-01-20 08:30:25,ACC000278,ACC000288,551.22,CASH_OUT,f245bc81-a8fc,192.168.198.169,0,12,13,5088.110000000001,4772.650000000001,424.0091666666667,10,12,0,0,25
TXN00000077,2024-03-11 11:02:36,ACC000208,ACC000703,96.73,CASH_OUT,59c108e8-4e12,192.168.144.235,0,7,14,1163.81,6060.099999999999,166.25857142857146,7,7,0,0,21
TXN00000078,2024-07-04 21:35:05,ACC000517,ACC000500,237.64,TRANSFER,ce888124-0a8f,192.168.190.107,0,25,9,327919.82,82661.21,13116.792800000001,22,22,13,4,34
TXN00000079,2024-01-20 21:25:21,ACC000094,ACC000649,63.47,CASH_OUT,1bda6358-448e,192.168.106.51,0,23,19,287448.83,171493.06000000003,12497.775217391305,21,22,11,8,42
TXN00000080,2024-05-30 05:17:07,ACC000045,ACC000003,329.43,PAYMENT,51bb538b-08a6,192.168.183.222,0,11,10,4968.41,3838.0499999999997,451.6736363636363,10,11,0,0,21
TXN00000081,2024-03-04 04:35:59,ACC000652,ACC000268,364.74,DEBIT,5b538758-bfaa,192.168.96.67,0,8,9,2438.3199999999997,4340.95,304.79,8,8,0,0,17
TXN00000082,2024-07-17 04:47:30,ACC000564,ACC000722,888.1,TRANSFER,4513b375-5a37,192.168.41.145,0,6,11,3522.49,7726.219999999999,587.0816666666666,6,6,0,0,17
TXN00000083,2024-10-13 04:32:56,ACC000114,ACC000077,775.8,PAYMENT,a2457daf-1478,192.168.190.107,0,13,19,218523.73,299194.05999999994,16809.517692307694,13,13,7,11,32
TXN00000084,2024-07-16 13:26:13,ACC000558,ACC000036,1618.06,PAYMENT,cc5ac11d-3a71,192.168.72.6,0,12,19,247012.56,315258.26,20584.379999999997,12,12,8,12,31
TXN00000085,2024-04-19 23:45:41,ACC000440,ACC000130,155.12,CASH_OUT,c636bc8b-a263,192.168.32.141,0,14,6,7101.049999999999,2184.8199999999997,507.2178571428572,14,13,0,0,20
TXN00000086,2024-02-27 15:24:13,ACC000920,ACC000955,573.09,CASH_OUT,c636bc8b-a263,192.168.184.36,0,10,12,4286.14,4379.7699999999995,428.614,10,10,0,0,22
TXN00000087,2024-02-24 04:19:31,ACC000215,ACC000698,224.31,TRANSFER,3500bdea-4550,192.168.161.74,0,9,5,2256.16,1753.6,250.68444444444444,9,9,0,0,14
TXN00000088,2024-12-21 07:02:06,ACC000362,ACC000798,30.35,DEBIT,d61d5eab-1f42,192.168.127.7,0,13,8,5967.82,1420.21,459.0630769230769,12,13,0,0,21
TXN00000089,2024-02-18 22:40:07,ACC000997,ACC000635,190.66,PAYMENT,e08ca288-dfcf,192.168.143.170,0,11,7,3667.0199999999995,2060.45,333.36545454545455,11,11,0,0,18
TXN00000090,2024-05-26 06:52:02,ACC000885,ACC000166,510.28,DEBIT,75b74f5d-3987,192.168.244.234,0,23,6,12544.080000000002,3567.0699999999997,545.3947826086958,23,22,0,0,29
TXN00000091,2024-08-19 15:21:03,ACC000025,ACC000183,545.23,CASH_OUT,ec4ee5c0-14af,192.168.110.119,0,14,19,158258.28000000003,133568.17,11304.16285714286,13,13,7,5,33
TXN00000092,2024-08-07 13:46:56,ACC000801,ACC000953,484.01,PAYMENT,bbb0a032-89e2,192.168.44.59,0,15,7,9455.36,3185.67,630.3573333333333,15,15,0,0,22
TXN00000093,2024-04-25 17:16:42,ACC000032,ACC000692,23828.0,TRANSFER,725f108e-b669,192.168.172.197,1,19,18,233082.43,254451.53999999995,12267.49631578947,17,17,11,11,37
TXN00000094,2024-02-04 18:19:15,ACC000879,ACC000481,38.43,DEBIT,a16874e1-a2e5,192.168.205.2,0,12,5,4441.0,2681.53,370.08333333333337,12,11,0,0,17
TXN00000095,2024-07-27 22:43:53,ACC000358,ACC000312,752.15,TRANSFER,c476b015-8cae,192.168.128.144,0,7,10,4043.86,4535.110000000001,577.6942857142857,7,7,0,0,17
TXN00000096,2024-08-13 01:48:02,ACC000675,ACC000197,53.87,CASH_OUT,428a0d44-09ce,192.168.85.6,0,12,8,5738.12,3030.2099999999996,478.1766666666666,12,11,0,0,20
TXN00000097,2024-04-25 10:02:09,ACC000885,ACC000071,156.85,CASH_OUT,eda3e22c-06cb,192.168.70.104,0,23,6,12544.080000000002,3567.0699999999997,545.3947826086958,23,22,0,0,29
TXN00000098,2024-07-11 03:03:34,ACC000656,ACC000521,307.36,CASH_OUT,428a0d44-09ce,192.168.252.237,0,10,14,6323.349999999999,7348.599999999999,632.3349999999999,10,10,0,0,24
TXN00000099,2024-05-11 15:21:29,ACC000961,ACC000028,1144.25,CASH_OUT,3e76be9f-4455,192.168.132.73,0,12,9,4659.5599999999995,3733.56,388.2966666666667,12,12,0,0,21
TXN00000100,2024-11-06 07:58:48,ACC000182,ACC000594,516.3,TRANSFER,b1213f4c-455f,192.168.214.114,0,12,8,5750.14,5470.480000000001,479.1783333333334,12,12,0,0,20
TXN00000101,2024-07-02 19:49:27,ACC000610,ACC000444,2072.26,CASH_OUT,a568ed97-32e2,192.168.104.95,0,9,9,6243.32,5474.64,693.7022222222223,9,9,0,0,18
TXN00000102,2024-05-20 03:11:33,ACC000446,ACC000620,589.53,DEBIT,60642c3e-7a0a,192.168.189.173,0,5,17,1125.4299999999998,7757.04,225.08599999999998,5,5,0,0,22
TXN00000103,2024-06-29 08:40:50,ACC000921,ACC000590,9.82,TRANSFER,cc624879-3cd3,192.168.144.141,0,14,13,7870.959999999999,6988.26,562.2114285714287,14,14,0,0,27
TXN00000104,2024-01-29 08:10:09,ACC000725,ACC000446,47.81,PAYMENT,07e6a2c8-6571,192.168.113.88,0,12,10,4645.0,4425.7699999999995,387.0833333333333,12,12,0,0,22
TXN00000105,2024-04-12 10:09:22,ACC000372,ACC000441,186.71,CASH_OUT,b1599e99-8ac9,192.168.118.59,0,11,12,4051.0300000000007,4887.290000000001,368.2754545454546,11,11,0,0,23
TXN00000106,2024-11-25 12:25:34,ACC000638,ACC000321,312.86,TRANSFER,80292516-f1d4,192.168.110.32,0,13,6,4702.5599999999995,2319.23,361.73538461538465,13,13,0,0,19
TXN00000107,2024-01-06 08:37:18,ACC000737,ACC000921,2027.98,CASH_OUT,a71524df-57c9,192.168.44.149,0,10,8,6192.49,5353.749999999999,619.249,10,10,0,0,18
TXN00000108,2024-03-28 09:19:50,ACC000682,ACC000418,206.53,CASH_OUT,55d44f49-5f40,192.168.194.246,0,15,5,4914.22,2301.62,327.61466666666666,14,15,0,0,20
TXN00000109,2024-08-07 07:21:43,ACC000567,ACC000130,486.72,DEBIT,986f3816-181a,192.168.187.69,0,12,8,7064.46,7349.99,588.7049999999999,10,12,0,0,20
TXN00000110,2024-10-08 06:27:13,ACC000693,ACC000766,215.38,CASH_OUT,f938ae6a-df9d,192.168.62.167,0,9,10,8236.75,4969.0,915.1944444444445,9,9,0,0,19
TXN00000111,2024-09-07 23:56:44,ACC000415,ACC000561,513.21,CASH_OUT,07e6a2c8-6571,192.168.110.168,0,15,13,8553.97,5576.9,570.2646666666667,15,14,0,0,28
TXN00000112,2024-09-03 08:39:10,ACC000215,ACC000440,7.31,CASH_OUT,29534e2a-9dcc,192.168.169.171,0,9,5,2256.16,1753.6,250.68444444444444,9,9,0,0,14
TXN00000113,2024-03-17 07:20:42,ACC000476,ACC000452,164.32,PAYMENT,817c9e4b-a7e1,192.168.230.65,0,14,3,5591.459999999999,973.12,399.39,14,13,0,0,17
TXN00000114,2024-12-01 22:24:17,ACC000523,ACC000484,128.72,TRANSFER,ec4ee5c0-14af,192.168.24.80,0,13,10,7052.26,7383.470000000001,542.4815384615384,13,13,0,0,23
TXN00000115,2024-12-27 00:48:18,ACC000290,ACC000527,298.13,CASH_OUT,80292516-f1d4,192.168.248.59,0,15,10,7577.57,10526.529999999999,505.1713333333334,15,15,0,0,25
TXN00000116,2024-07-02 13:25:23,ACC000095,ACC000838,165.74,CASH_OUT,e933dfd0-09f7,192.168.112.170,0,19,23,113107.62000000001,232276.08,5953.032631578947,19,17,5,12,42
TXN00000117,2024-06-12 14:37:53,ACC000230,ACC000825,135.52,TRANSFER,bc54bdb8-d678,192.168.175.121,0,8,14,2859.4700000000003,10471.640000000001,357.43375,8,8,0,0,22
TXN00000118,2024-06-24 02:19:51,ACC000047,ACC000250,587.91,TRANSFER,b2349c74-bc91,192.168.30.72,0,6,10,7009.530000000001,6624.04,1168.2549999999999,6,6,0,0,16
TXN00000119,2024-06-20 07:18:14,ACC000466,ACC000424,496.0,PAYMENT,ec80a4e1-f7bc,192.168.138.132,0,5,9,4265.139999999999,5768.64,853.028,5,5,0,0,14
TXN00000120,2024-08-18 17:07:28,ACC000735,ACC000713,23.83,DEBIT,c0e93558-bf82,192.168.47.84,0,9,9,5561.84,2554.2700000000004,617.9822222222224,9,9,0,0,18
TXN00000121,2024-03-25 23:47:09,ACC000249,ACC000151,148.81,TRANSFER,7638412c-6680,192.168.76.111,0,7,11,1096.82,10249.48,156.68857142857144,7,7,0,0,18
TXN00000122,2024-01-06 01:49:39,ACC000914,ACC000768,647.6,TRANSFER,eda3e22c-06cb,192.168.127.7,0,8,10,4748.25,5549.65,593.53125,8,8,0,0,18
TXN00000123,2024-01-31 16:51:01,ACC000797,ACC000435,1676.47,DEBIT,a16874e1-a2e5,192.168.110.204,0,22,13,9941.929999999998,4810.719999999999,451.90590909090906,22,22,0,0,35
TXN00000124,2024-05-28 11:37:42,ACC000051,ACC000570,710.96,TRANSFER,3500bdea-4550,192.168.46.237,0,11,10,8054.9400000000005,3084.66,732.2672727272727,11,11,0,0,21
TXN00000125,2024-09-01 14:58:49,ACC000467,ACC000136,48.53,CASH_OUT,850a72ee-f3e7,192.168.161.74,0,9,12,2831.1600000000003,5584.6799999999985,314.5733333333333,9,9,0,0,21
TXN00000126,2024-11-17 15:11:14,ACC000972,ACC000773,331.67,DEBIT,817c9e4b-a7e1,192.168.30.72,0,9,10,5006.929999999999,5276.3099999999995,556.3255555555556,9,9,0,0,19
TXN00000127,2024-05-03 12:52:43,ACC000850,ACC000928,659.34,PAYMENT,b6351af2-5048,192.168.139.45,0,6,14,2984.0600000000004,10830.46,497.34333333333336,6,6,0,0,20
TXN00000128,2024-05-15 00:02:30,ACC000761,ACC000882,533.11,CASH_OUT,b2349c74-bc91,192.168.118.217,0,6,13,4227.13,9576.15,704.5216666666666,6,6,0,0,19
TXN00000129,2024-07-03 05:58:24,ACC000769,ACC000253,652.54,DEBIT,cddaf428-cd1d,192.168.250.55,0,10,16,3325.3899999999994,10644.27,332.539,10,10,0,0,26
TXN00000130,2024-07-31 18:21:17,ACC000641,ACC000244,257.57,TRANSFER,05dd7418-be8a,192.168.184.78,0,13,11,5048.79,6037.049999999999,388.3684615384616,12,13,0,0,24
TXN00000131,2024-07-01 01:38:11,ACC000730,ACC000292,72.12,CASH_OUT,7809e222-aafa,192.168.88.111,0,13,10,6170.259999999999,3528.2000000000003,474.6353846153846,13,13,0,0,23
TXN00000132,2024-08-17 13:51:43,ACC000327,ACC000914,1295.15,PAYMENT,4023875c-35d7,192.168.42.192,0,11,10,4231.110000000001,3985.99,384.6463636363636,11,11,0,0,21
TXN00000133,2024-08-18 06:05:25,ACC000154,ACC000236,499.09,PAYMENT,c0e93558-bf82,192.168.247.252,0,13,7,4740.3099999999995,1713.8,364.6392307692308,13,13,0,0,20
TXN00000134,2024-08-09 21:43:52,ACC000723,ACC000219,26.79,DEBIT,61262a3f-c45f,192.168.201.114,0,20,5,7604.27,1238.57,380.21349999999995,18,20,0,0,25
TXN00000135,2024-12-04 12:33:13,ACC000338,ACC000555,146.07,TRANSFER,100f6335-9d5b,192.168.201.114,0,9,8,2268.4500000000003,6841.220000000001,252.04999999999995,9,9,0,0,17
TXN00000136,2024-05-31 15:58:06,ACC000211,ACC000852,14.73,TRANSFER,1dc4c9d4-5baa,192.168.86.244,0,10,10,2186.75,3177.6,218.675,10,10,0,0,20
TXN00000137,2024-04-11 11:28:25,ACC000877,ACC000901,403.53,DEBIT,64056067-31e8,192.168.138.132,0,13,9,3640.8600000000006,4558.82,280.06615384615384,12,13,0,0,22
TXN00000138,2024-11-16 20:13:43,ACC000488,ACC000006,337.75,DEBIT,6e4a3c3b-9fe6,192.168.234.75,0,11,11,4817.97,6055.89,437.99727272727273,11,11,0,0,22
TXN00000139,2024-06-23 06:57:05,ACC000873,ACC000913,511.23,PAYMENT,1dc4c9d4-5baa,192.168.106.123,0,11,5,3971.3599999999997,1825.6799999999998,361.0327272727273,11,11,0,0,16
